fpid,doi,impact_matrix,factor1_title,factor1_direction,factor2_title,factor2_direction,factor3_title,factor3_direction,factor4_title,factor4_direction,factor5_title,factor5_direction,factor6_title,factor6_direction,factor7_title,factor7_direction,factor8_title,factor8_direction
Wetland conservation and restoration,10.1007/s10530-021-02540-5,Soil nutrients,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wetland conservation and restoration,10.1007/s10530-021-02540-5,Soil physico-chemical quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wetland conservation and restoration,10.1007/s10530-021-02540-5,Soil water retention,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grassland management,10.1007/s10531-018-1562-6,Biodiversity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No tillage and reduced tillage,10.1007/s10533-004-0360-2,Carbon sequestration,Climate,Implementation of no-till or reduced tillage led to the largest increases in SOC storage under tropical moist conditions and the smallest increases under temperate dry conditions.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No tillage and reduced tillage,10.1007/s10533-011-9600-4,Carbon sequestration,C fertilization,"When an increase of inputs under NT was reported, it led systematically to increased or equivalent SOC storage (e.g. Hernanz et al. 2002). On the contrary, when C inputs were smaller under NT, SOC storage was reduced or increased depending on the study.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leguminous crops; Intercropping,10.1007/s10658-019-01711-4,Pests and diseases,Time after plantation; Season,"Greater control effect during early and mid season than during late season.; The effect of intercropping on disease incidence varied over the season, with a greater control effect during early (Δy =βtime(early)= −0.407, effect of intercropping = 33%, P < 0.001) and midseason (Δy = βtime(mid)=-0.305, effect of intercropping = 26%, P < 0.001;) than during late season (Δy=βtime(late) =− 0.118, effect of intercropping =11%, P = 0.055)",N fertilizer input; Pathogen species,"Plant disease incidence increased significantly with N fertilizer input.; Disease reduction by intercropping was significant (P < 0.01) for four out of six studied pathogens: yellow rust (Puccinia striiformis f.sp. tritici) and mildew (Blumeria graminis) in wheat (Triticum aestivum), and chocolate spot (Botrytis fabae) and Fusarium wilt (Fusarium oxysporum) in faba bean (Vicia faba). Disease reduction was marginally significant for yellow rust in barley (Puccinia striiformis f.sp. hordei) (P < 0.10) and not significant for bean rust (Uromyces fabae).",N dose*time of survey,"Disease incidence at the mid time increased significantly with N fertilizer, but the incidences at both early and late observation times were not significantly affected by N fertilizer input. Higher doses of N fertilizer significantly increased wheat Powdery Mildew incidence in both sole crops and intercrops, but N fertilizer did not influence the incidence of other diseases.",Pathogens,"Significant for the 2 studied wheat pathogens, not for the studied barley pathogen.",NA,NA,NA,NA,NA,NA,NA,NA
Enhanced efficiency fertilisers; Grassland management,10.1007/s10705-012-9498-9,Air pollutants emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No tillage and reduced tillage,10.1007/s10705-017-9836-z,Crop yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green manure; Cover and catch crops; Crop rotation; Leguminous crops; Organic fertilisation; Manure land application techniques; No tillage and reduced tillage,10.1007/s10705-017-9836-z,GHG emissions,N fertilisation rate; Difference in total N inputs between organic and mineral fertilisers,"Based on the 12 studies reporting N2O emissions in cover cropping systems during the cash crop growth periods in conjunction with cover crop N content, we found a significant positive correlation between the LRR for N2O emissions and the extra N inputs from both legume and non-legume cover crops.; Positive correlation between the log-response ratio for N2O emissions and the difference in total N inputs (y = 0.0081x - 0.033, R2 = 0.23, p\0.0001).",Period; Soil clay content,"Six studies (19 observations) measured N2O during only the cover crop growth period. An additional nine studies (37 observations) measured N2O emissions during only grain crop growth, after cover crops had been killed or incorporated. The remaining six studies measured N2O emissions during both cover crop and grain crop growth, but only three of these studies reported the two crop phases separately. Using the data available for each crop phase, we found that N2O emissions from cover crop growth periods were 58% lower (bootstrapping 95% CI −81 to −27%) compared to bare fallows. N2O emissions, from cash crop growth periods and whole-year measurements, were non-significanly different compared to bare fallows.; We found a significantly negative correlation between the log-response ratio for N2O emissions and soil clay content. In coarser soils, manure slightly increased N2O emissions compared to inorganic fertilizer, while in finer soils, manure tended to have similar or lower N2O emission compared to fertilizer.",Organic fertiliser C/N ratio,"We also found a negative relationship between log-response ratio for N20 and manure C:N ratios (y = 3.6 - 0.13x, R2 = 0.2, p = 0.04).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livestock feeding techniques,10.1007/s10705-017-9893-3,Air pollutants emissions,Dose,"In pigs, high reductions of NH3 can be achieved when the final CP level is low and the reductions in CP are high.  Contrary to the case in pigs, there was no influence of final CP on NH3 emission reductions.",Animal type,"Even at low crude protein levels, the NH3 reductions for a particular crude protein reduction is higher for cattle than pigs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crop residue management; Organic fertilisation,10.1007/s10705-017-9903-5,Carbon sequestration,"Soil N, P and organic carbon","For all treatment-control combinations: The effect on soil organic carbon was largest when the initial soil organic and total N contents were small, rendering a mean relative increase of >70 and >30%, respectively. For both categorical variables (regardless of the control used), the effect size was considerably reduced when the initial soil organic carbon was >20 g/kg and the initial total N content >2g/kg.",Soil pH,"Initial soil pH also had a role, with the greatest relative increase in soil organic carbon in soils with near-neutral pH values (89% when compared with the nil control and 46% when compared with the standard control, respectively). These were followed by the soils with pH values >7.4, and then by those with pH values < 6.5. Soils with an initial pH at near-neutral values (6.6–7.3) had the greatest absolute increase in soil final organic carbon (9.8 and 7.5 g/kg over the nil and standard control, respectively.",Climate,"The addition of OA and OA + MF amendments to soils located in warm regions (Mediterranean/sub- arid/arid, tropical and semi-tropical) had the greatest relative increases in soil final organic carbon (>50% when compared with the nil control and >30% when compared with the standard control), whereas relative increases were below these threshold values in soils under humid-temperate and continental-type climates.",Soil texture and soil type,"Soil organic carbon had the smallest response in silty soils. Among the soil orders considered, Alfisols had the greatest relative increase in soil organic carbon (>50% regardless of the type of control considered), whereas the rest of soil orders (Entisols/ Inceptisols, Mollisols and the soils grouped as ‘‘Paddy soils’’) had a relative soil organic carbon increase <50%.",Duration of treatment,"The mean relative increase in soil organic carbon under the longer-term application of OA and OA + MF (>20 years) (57 and 37% compared to the nil and standard controls, respectively) almost doubled compared to soils where these amendments were added for 10–20 years (32 and 23% increase for nil and standard controls, respectively), regardless of the type of control considered.",Organic fertiliser type,"Organic amendments that rendered the greatest relative increase in soil organic carbon were manures and biosolids (>50 and 40%, when comparing with the nil and the standard control, respectively).",Mineral N fertiliser application rate,"The additional application rates of inorganic N was only significant for the nil control. The smallest gain in soil organic carbon (33% and 4.2 g/kg, respectively) occurred with inorganic low N application rates (<100 kg/ha/year).",NA,NA
Crop residue management; Organic fertilisation,10.1007/s10705-017-9903-5,Crop yield,Mineral N fertiliser application rate,"OA and OA+IF versus nil control: The amount of inorganic N fertiliser added to the soil along with the organic also had an important effect on yield, particularly on the yieldm, with the largest relative increase (>170%) when the inorganic N application rates were between 100 and 200 kg/ha/year, followed by those above and below this application rate range. OA and OA+IF versus standard control: yieldf increased >10%  when N application rate at 100–200 kg/ha/year.",Soil texture and soil type,"OA and OA+IF versus nil control: Soils with clayey texture had the greatest yield response with mean yield increases of >120 and >210%, for yieldm and yieldf, respectively, whereas silty soils had the smallest yield increases (<25 and 70% increase, respectively). Yield responses of the Entisol/Inceptisol soil order groups to OA and OA + MF were the greatest (>80 and 140%,  for yieldm and yieldf, respectively) among all the soil orders considered, although only significant when compared with the Alfisol order. OA and OA+IF versus standard control: yieldf increased >10% in sandy soils.",Duration of treatment,OA and OA+IF versus nil control: Relative mean yieldm increased by >90% with a longer duration (>20 years) of OA and OA + MF application to soil compared to <60% for a shorter duration (10–20 years).,Climate,"OA and OA+IF versus nil control: Soils under tropical and subtropical climates had significantly greater responses in yieldm (112%) than in those under humid temperate-type climate (42%), with the response of soils under continental-type climate showing no significant differences from the former climate types. OA and OA+IF versus standard control: Differences in mean yield were observed between climatic groups, with a positive effect size of >12% and >10% with the addition of OA and OA + MF under tropical climate for yieldm and yieldf, respectively and a negative effect size >8% under humid-temperate climate for mean yieldm.","Soil N, P and organic carbon","OA and OA+IF versus nil control: The mean yield increases when the initial total N concentration was < 1g/kg were >260 and >180% for yieldm and yieldf, respectively. The yield responses dropped to <70% increases at initial total N concentrations between 1 and 2 g/kg, and to <5% at initial N concentrations >2 g/kg. When the initial available P concentration was < 5 mg/kg, mean yield increases were >430 and >580%, for yieldm and yieldf, respectively. The responses were smaller at higher initial available P concentrations, with a mean yield increase from ~80 to 100% at concentrations between 5 and 10 mg/kg, and ~40–50% mean yield increases at concentrations > 10 mg/kg. Soils with an initial organic carbon <10 g/kg having a mean increase in yieldm and on yieldf >150%; this dropped to a <100% increases in yield at organic carbon >10 g/kg and to <50% for soil organic carbon of >20 g/kg. OA and OA+IF versus standard control: For initial Olsen P, total N, and soil organic carbon, similar trends were observed as under the nil control, but at a much smaller scale. At low initial soil concentrations for these three categorical variables relative yieldf increases were between 24 and 28%, whereas the rest of groups within these variables had little influence, with increases <6%, if existent.",Organic fertiliser type,"OA and OA+IF versus nil control: The type of OA also contributed to the variation of the yieldm response, with the straw amendment causing a mean yield increase >160% whereas for the other OA the increases were <100%. OA and OA+IF versus standard control: The addition of OA and OA + MF caused >10% decrease in mean yieldm when biosolids was used as OA.",Crop type,OA and OA+IF versus nil control: Application of OA and OA + MF had a considerably smaller effect (<40%) on yieldm for barley than for the other crops considered (>60%). OA and OA+IF versus standard control: The addition of OA and OA + MF decreased mean yieldm in barley crops.,Soil pH,"OA and OA+IF versus nil control: Initial soil pH values ranging from 6.6 to 7.3 led to the greatest yield increases (>240%) followed by the soils with a pH>7.3 with mean yield increases <120%, and the soils with a pH < 6.6 had the smallest mean yield increases (<70%). OA and OA+IF versus standard control: yieldf increased >10% in when initial soil pH ranged between 6.6 and 7.3."
