"fpid","doi","population","intervention","intervention_matrix","control","control_matrix","metric","metric_positive_effect","effect_size","impact_matrix","impact_positive_effect","positive","negative","no_effect","uncertain","results_level","results_qtype","results_statistics","results_1","results_2","results_3","results_nb_of_trials","results_nb_of_papers","results_threshold","i_c_shift","metric_std2","metric_unit","sustainability_outcome","f_pclass_tier0","policy_class_codes","policy_class_names","scale","population_name1","population_value1","population_name2","population_value2","population_name3","population_value3","population_name4","population_value4","population_name5","population_value5","population_name6","population_value6"
"Organic farming systems","10.1111/gcb.13513","Long-term studies (minimum 5 years) assessing the performance of organic systems in comparison to conventional systems.","Organic agriculture: a cropping system in which inorganic fertilizers are largely replaced with organic amendments (including farm yard manure and green manure) and in which synthetic pesticides are generally not used (overall practices vary widely, depending upon local guidelines).","Organic cropping systems","Conventional systems","Conventional system","Stock of organic carbon in soil","increase","Difference of the considered metrics between intervention and control","Carbon sequestration","increase",0,0,0,1,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Organic carbon stock (soil)","kg /ha","Carbon sequestration","Organic farming","O1X","Organic farming (O1X)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agroforestry practices and systems","10.1016/j.agee.2016.04.011","Arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.","Agroforestry (all tree-crop co-existence types)","All agroforestry types (aggregated)","Agricultural land with assumed 0 C sequestration rate","Land use without trees","Aboveground biomass carbon sequestration rate","increase","Difference of the considered metrics between intervention and control","Carbon sequestration","increase",1,0,0,0,"Grand-mean","Difference of the considered metrics between intervention and control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","3.8","2.5","5.0999999999999996","43",NA,"0",0,"Organic carbon sequestration rate (aboveground biomass)","C t /ha /year","Carbon sequestration","Landscape features management","L3X","Agroforestry (L3X)","Global (mostly tropics, few temperate)","Age of the system","Effect on soil carbon sequestration rate diminishes over time, and depends on the type of agroforestry system considered.","Type of agroforestry","Effect on soil carbon sequestration rate diminishes over time, and depends on the type of agroforestry system considered.",NA,NA,NA,NA,NA,NA,NA,NA
"Agroforestry practices and systems","10.1016/j.agee.2016.04.011","arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.","Rotational agroforestry","Sequential rotation of tree-plantation and crops","Agricultural land with assumed 0 C sequestration rate","Land use without trees","Aboveground biomass carbon sequestration rate","increase","Difference of the considered metrics between intervention and control","Carbon sequestration","increase",1,0,0,0,"Grand-mean","Difference of the considered metrics between intervention and control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","4.8","3.4","6.2","17",NA,"0",0,"Organic carbon sequestration rate (aboveground biomass)","C t /ha /year","Carbon sequestration","Landscape features management","L32X","Silvicultural systems (L32X)","Global (mostly tropics, few temperate)","Age of the system","Effect on soil carbon sequestration rate diminishes over time, and depends on the type of agroforestry system considered.","Type of agroforestry","Effect on soil carbon sequestration rate diminishes over time, and depends on the type of agroforestry system considered.",NA,NA,NA,NA,NA,NA,NA,NA
"Agroforestry practices and systems","10.1016/j.agee.2016.04.011","arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.","Home gardens","Agro-silvopastoral systems","Agricultural land with assumed 0 C sequestration rate","Land use without trees","belowground + aboveground biomass carbon sequestration rate","increase","Difference of the considered metrics between intervention and control","Carbon sequestration","increase",1,0,0,0,"Grand-mean","Difference of the considered metrics between intervention and control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","7.5","2.2000000000000002","12.8","11",NA,"0",0,"Organic carbon sequestration rate (aboveground + belowground biomass)","C t /ha /year","Carbon sequestration","Landscape features management","L32X+R14+R15","Silvicultural systems (L32X), Crop diversification (R14), Mixed cropping / intercropping (R15)","Global (mostly tropics, few temperate)","Age of the system","Effect on soil carbon sequestration rate diminishes over time, and depends on the type of agroforestry system considered.","Type of agroforestry","Effect on soil carbon sequestration rate diminishes over time, and depends on the type of agroforestry system considered.",NA,NA,NA,NA,NA,NA,NA,NA
"Agroforestry practices and systems","10.1016/j.agee.2016.04.011","arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.","Live fences","Landscape woody features","Agricultural land with assumed 0 C sequestration rate","Land use without trees","belowground + aboveground biomass carbon sequestration rate","increase","Difference of the considered metrics between intervention and control","Carbon sequestration","increase",1,0,0,0,"Subgroup-1","Difference of the considered metrics between intervention and control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","0.3","0","0.6","5",NA,"0",0,"Organic carbon sequestration rate (soil + aboveground + belowground biomass)","C t /ha /year","Carbon sequestration","Landscape features management","L11X","Hedgerows/individual or group of trees/ trees in line (L11X)","Global (mostly tropics, few temperate)","Age of the system","Effect on soil carbon sequestration rate diminishes over time, and depends on the type of agroforestry system considered.","Type of agroforestry","Effect on soil carbon sequestration rate diminishes over time, and depends on the type of agroforestry system considered.",NA,NA,NA,NA,NA,NA,NA,NA
"Agroforestry practices and systems","10.1016/j.agee.2016.04.011","arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.","Agroforestry (all tree-crop co-existence types)","All agroforestry types (aggregated)","Agricultural land with assumed 0 C sequestration rate","Land use without trees","Belowground biomass carbon sequestration rate","increase","Difference of the considered metrics between intervention and control","Carbon sequestration","increase",1,0,0,0,"Grand-mean","Difference of the considered metrics between intervention and control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","1.2","0.8","1.6","14",NA,"0",0,"Organic carbon sequestration rate (belowground biomass)","C t /ha /year","Carbon sequestration","Landscape features management","L3X","Agroforestry (L3X)","Global (mostly tropics, few temperate)","Age of the system","Effect on soil carbon sequestration rate diminishes over time, and depends on the type of agroforestry system considered.","Type of agroforestry","Effect on soil carbon sequestration rate diminishes over time, and depends on the type of agroforestry system considered.",NA,NA,NA,NA,NA,NA,NA,NA
"Agroforestry practices and systems","10.1016/j.agee.2016.04.011","arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.","Rotational agroforestry","Sequential rotation of tree-plantation and crops","Agricultural land with assumed 0 C sequestration rate","Land use without trees","Belowground biomass carbon sequestration rate","increase","Difference of the considered metrics between intervention and control","Carbon sequestration","increase",1,0,0,0,"Grand-mean","Difference of the considered metrics between intervention and control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","1.4","1","1.8","17",NA,"0",0,"Organic carbon sequestration rate (belowground biomass)","C t /ha /year","Carbon sequestration","Landscape features management","L32X","Silvicultural systems (L32X)","Global (mostly tropics, few temperate)","Age of the system","Effect on soil carbon sequestration rate diminishes over time, and depends on the type of agroforestry system considered.","Type of agroforestry","Effect on soil carbon sequestration rate diminishes over time, and depends on the type of agroforestry system considered.",NA,NA,NA,NA,NA,NA,NA,NA
"Agroforestry practices and systems","10.1016/j.agee.2016.04.011","arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.","Agroforestry (all tree-crop co-existence types)","All agroforestry types (aggregated)","Agricultural land with assumed 0 C sequestration rate","Land use without trees","SOC sequestration rate","increase","Difference of the considered metrics between intervention and control","Carbon sequestration","increase",1,0,0,0,"Grand-mean","Difference of the considered metrics between intervention and control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","2.2000000000000002","1","3.4","14",NA,"0",0,"Organic carbon sequestration rate (soil)","C t /ha /year","Carbon sequestration","Landscape features management","L3X","Agroforestry (L3X)","Global (mostly tropics, few temperate)","Age of the system","Effect on soil carbon sequestration rate diminishes over time, and depends on the type of agroforestry system considered.","Type of agroforestry","Effect on soil carbon sequestration rate diminishes over time, and depends on the type of agroforestry system considered.",NA,NA,NA,NA,NA,NA,NA,NA
"Agroforestry practices and systems","10.1016/j.agee.2016.04.011","arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.","Improved fallow","Other system","Agricultural land with assumed 0 C sequestration rate","Land use without trees","soil + belowground + aboveground biomass carbon sequestration rate","increase","Difference of the considered metrics between intervention and control","Carbon sequestration","increase",1,0,0,0,"Subgroup-1","Difference of the considered metrics between intervention and control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","6.4","5.4","7.4","14 for the soil C sequestration, 1 for above- and belowground biomass C sequestration",NA,NA,0,"Organic carbon sequestration rate (soil + aboveground + belowground biomass)","C t /ha /year","Carbon sequestration","Landscape features management","L3X+R13X","Agroforestry (L3X), Land laying fallow (R13X)","Global (mostly tropics, few temperate)","Age of the system","Effect on soil carbon sequestration rate diminishes over time, and depends on the type of agroforestry system considered.","Type of agroforestry","Effect on soil carbon sequestration rate diminishes over time, and depends on the type of agroforestry system considered.",NA,NA,NA,NA,NA,NA,NA,NA
"Agroforestry practices and systems","10.1016/j.agee.2016.04.011","arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.","Intercropping","Silvoarable systems","Agricultural land with assumed 0 C sequestration rate","Land use without trees","soil + belowground + aboveground biomass carbon sequestration rate","increase","Difference of the considered metrics between intervention and control","Carbon sequestration","increase",1,0,0,0,"Subgroup-1","Difference of the considered metrics between intervention and control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","4","1.8","6.2","6",NA,NA,0,"Organic carbon sequestration rate (soil + aboveground + belowground biomass)","C t /ha /year","Carbon sequestration","Landscape features management","L32X","Silvicultural systems (L32X)","Global (mostly tropics, few temperate)","Age of the system","Effect on soil carbon sequestration rate diminishes over time, and depends on the type of agroforestry system considered.","Type of agroforestry","Effect on soil carbon sequestration rate diminishes over time, and depends on the type of agroforestry system considered.",NA,NA,NA,NA,NA,NA,NA,NA
"Agroforestry practices and systems","10.1016/j.agee.2016.04.011","arable land and pasture land, mainly in the tropics and subtropics. Some temperate and mediterranean data are present.","Rotational woodlots","Sequential rotation of tree-plantation and crops","Agricultural land with assumed 0 C sequestration rate","Land use without trees","soil + belowground + aboveground biomass carbon sequestration rate","increase","Difference of the considered metrics between intervention and control","Carbon sequestration","increase",1,0,0,0,"Subgroup-1","Difference of the considered metrics between intervention and control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","14","11.7","16.3","11",NA,NA,0,"Organic carbon sequestration rate (soil + aboveground + belowground biomass)","C t /ha /year","Carbon sequestration","Landscape features management","L32X+R11","Silvicultural systems (L32X), Crop rotation (R11)","Global (mostly tropics, few temperate)","Age of the system","Effect on soil carbon sequestration rate diminishes over time, and depends on the type of agroforestry system considered.","Type of agroforestry","Effect on soil carbon sequestration rate diminishes over time, and depends on the type of agroforestry system considered.",NA,NA,NA,NA,NA,NA,NA,NA
