"sustainability_outcome","impact_matrix","impact_positive_effect","metric_std2","metric","metric_positive_effect","metric_unit","doi","fpid"
"Biodiversity","Pests and diseases","Decrease","Functional parameters (natural enemies)","Natural enemies (abundance, diversity)","increase",NA,"10.1111/j.1461-0248.2011.01642.x","Landscape features"
"Biodiversity","Pests and diseases","Decrease","Functional parameters (natural enemies)","Natural enemies abundance/density","increase",NA,"10.1111/j.1461-0248.2011.01642.x","Landscape features"
"Biodiversity","Pests and diseases","Decrease","Functional parameters (natural enemies)","Natural enemies diversity","increase",NA,"10.1111/j.1461-0248.2011.01642.x","Landscape features"
"Biodiversity","Pests and diseases","Decrease","Functional parameters (natural enemies)","Natural enemies predation/parasitism","increase",NA,"10.1111/j.1461-0248.2011.01642.x","Landscape features"
"Biodiversity","Pests and diseases","Decrease","pest","Pests (abundance, diversity, population growth)","decrease",NA,"10.1111/j.1461-0248.2011.01642.x","Landscape features"
"Biodiversity","Pests and diseases","Decrease","pest","Pests abundance","decrease",NA,"10.1111/j.1461-0248.2011.01642.x","Landscape features"
"Biodiversity","Pests and diseases","Decrease","pest","Pests diversity","decrease",NA,"10.1111/j.1461-0248.2011.01642.x","Landscape features"
"Biodiversity","Pests and diseases","Decrease","pest","Pests population growth","decrease",NA,"10.1111/j.1461-0248.2011.01642.x","Landscape features"
"Biodiversity","Pests and diseases","Decrease","crop damage or disease","Plant/crop damage","decrease",NA,"10.1111/j.1461-0248.2011.01642.x","Landscape features"
"Biodiversity","Pests and diseases","Decrease","Functional parameters (natural enemies)","Abundance and richness of crop pest natural enemies","increase",NA,"10.1111/brv.12040","Landscape features"
"Biodiversity","Pollination","Increase","Functional parameters (pollinator)","Abundance and richness of pollinators","increase",NA,"10.1111/brv.12040","Landscape features"
"Biodiversity","Pollination","Increase","Functional parameters (pollinator)","Bees abundance OR richness","increase",NA,"10.1111/brv.12040","Landscape features"
"Biodiversity","Pollination","Increase","Functional parameters (pollinator)","Beetles abundance OR richness","increase",NA,"10.1111/brv.12040","Landscape features"
"Agricultural production","Grassland production","Increase","Net primary productivity","Above- and belowground biomass","increase","%","10.1002/ecy.2905","Grassland management"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (mammal)","Mammal abundance","increase",NA,"10.1016/j.jnc.2018.08.008","Grazing management"
"Biodiversity","Biodiversity","Increase","Biodiversity parameters (aggregated)","Seven taxonomic groups (plants, birds, invertebrates, reptiles, fungi, mammals, and amphibians) species richness","increase",NA,"10.1016/j.jaridenv.2017.11.017","Agroforestry practices and systems"
"Soil health","Soil nutrients","Increase","Soil potassium","Soil total K","increase",NA,"10.3390/agronomy12040890","Crop residue management"
"Soil health","Soil nutrients","Increase","Soil phosphorous","Soil total P","increase",NA,"10.3390/agronomy12040890","Crop residue management"
"Biodiversity","Pests and diseases","Decrease","Functional parameters (herbivore)","Herbivore abundance","decrease",NA,"10.1111/1365-2435.13062","Intercropping"
"Biodiversity","Pests and diseases","Decrease","crop damage or disease","Herbivore damage","decrease",NA,"10.1111/1365-2435.13062","Intercropping"
"Biodiversity","Pests and diseases","Decrease","pest","Predator abundance","decrease",NA,"10.1111/1365-2435.13062","Intercropping"
"Biodiversity","Pests and diseases","Decrease","crop damage or disease","Crop damage","decrease",NA,"10.1890/09-2026.1","Intercropping"
"Agricultural production","Crop yield","Increase","Crop yield","Crop yield from only the main crop","increase",NA,"10.1890/09-2026.1","Intercropping"
"Biodiversity","Pests and diseases","Decrease","Functional parameters (natural enemies)","Natural enemy abundance","increase",NA,"10.1890/09-2026.1","Intercropping"
"Biodiversity","Pests and diseases","Decrease","Functional parameters (herbivore)","Pest Arthropod herbivore abundance","decrease",NA,"10.1890/09-2026.1","Intercropping"
"Soil health","Soil nutrients","Increase","Soil nitrogen","Soil N stock","increase",NA,"10.1002/saj2.20260","No tillage and reduced tillage"
"Pollution","Water quality","Increase","Water carbon","Dissolved organic carbon in wetland","increase",NA,"10.1016/j.ese.2020.100063","Wetland management"
"Pollution","Water quality","Increase","Water nitrogen","Ammonium cation - nitrogen concentration","decrease",NA,"10.1016/j.ese.2020.100063","Wetland management"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (microbes)","Microbial biomass carbon","increase",NA,"10.1016/j.ese.2020.100063","Peatland management"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (microbes)","Microbial biomass nitrogen","increase",NA,"10.1016/j.ese.2020.100063","Peatland management"
"Pollution","Water quality","Increase","Water nitrogen","Nitrates - Nitrogen","decrease",NA,"10.1016/j.ese.2020.100063","Wetland management"
"Biodiversity","Pests and diseases","Decrease","Functional parameters (natural enemies)","Biological control potential (predation rate, parasitism rate and soil-suppressiveness, that is, soil ability to suppress pathogens following their inoculation)","increase",NA,"10.1038/s41893-018-0102-4","Organic farming systems"
"Biodiversity","Pests and diseases","Decrease","pest","Pest infestation (disease severity or incidence, pest abundance or pest density, weed soil cover, weed biomass or weed density)","decrease",NA,"10.1038/s41893-018-0102-4","Organic farming systems"
"Sustainable use of resources","Plant nutrient uptake","Increase","Nitrogen use efficiency","Nutrient use efficiency","increase",NA,"10.3390/plants11131690","Water-saving irrigation practices in flooded lands"
"Agricultural production","Grassland production","Increase","Net primary productivity (grass)","Pasture yield","increase",NA,"10.1016/j.agee.2012.12.010","Agroforestry practices and systems"
"Biodiversity","Biodiversity","Increase","Biodiversity parameters (aggregated)","Species richness","increase",NA,"10.1111/cobi.12536","Landscape features"
"Biodiversity","Biodiversity","Increase","Taxonomic-functional parameters (arthropod)","Arthropod decomposer abundance","increase",NA,"10.1111/j.1466-8238.2008.00399.x","Grassland conservation and restoration"
"Biodiversity","Biodiversity","Increase","Taxonomic-functional parameters (arthropod)","Arthropod decomposer species richness","increase",NA,"10.1111/j.1466-8238.2008.00399.x","Grassland conservation and restoration"
"Biodiversity","Biodiversity","Increase","Taxonomic-functional parameters (arthropod)","Arthropod predator abundance","increase",NA,"10.1111/j.1466-8238.2008.00399.x","Grassland conservation and restoration"
"Biodiversity","Biodiversity","Increase","Taxonomic-functional parameters (arthropod)","Arthropod predator species richness","increase",NA,"10.1111/j.1466-8238.2008.00399.x","Grassland conservation and restoration"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (bird)","Bird abundance","increase",NA,"10.1016/j.baae.2021.08.007","Grazing management"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (bird)","Bird species richness","increase",NA,"10.1016/j.baae.2021.08.007","Grazing management"
"Biodiversity","Biodiversity","Increase","Biodiversity parameters (aggregated)","Species abundance","increase",NA,"10.1111/j.1365-2664.2005.01005.x","Organic farming systems"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (plant)","All non-vascular plants richness","increase",NA,"10.1186/2047-2382-2-6","Grazing management"
"Agricultural production","Grassland production","Increase","Net primary productivity","Bare ground area","decrease",NA,"10.1186/2047-2382-2-6","Grazing management"
"Agricultural production","Grassland production","Increase","Net primary productivity","Bryophytes cover/abundance, biomass or productivity","increase",NA,"10.1186/2047-2382-2-6","Grazing management"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (plant)","Bryophytess richness","increase",NA,"10.1186/2047-2382-2-6","Grazing management"
"Agricultural production","Grassland production","Increase","Net primary productivity","Graminoids cover/abundance, biomass or productivity","increase",NA,"10.1186/2047-2382-2-6","Grazing management"
"Agricultural production","Grassland production","Increase","Net primary productivity","Herbs/forbs cover/abundance, biomass or productivity","increase",NA,"10.1186/2047-2382-2-6","Grazing management"
"Agricultural production","Grassland production","Increase","Net primary productivity","Lichens cover/abundance, biomass or productivity","increase",NA,"10.1186/2047-2382-2-6","Grazing management"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (plant)","Lichens richness","increase",NA,"10.1186/2047-2382-2-6","Grazing management"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (plant)","Non-vascular cryptogams richness","increase",NA,"10.1186/2047-2382-2-6","Grazing management"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (plant)","Vascular plants richness","increase",NA,"10.1186/2047-2382-2-6","Grazing management"
"Agricultural production","Grassland production","Increase","Net primary productivity","Woody plants cover/abundance, biomass or productivity","increase",NA,"10.1186/2047-2382-2-6","Grazing management"
"Soil health","Soil erosion","Decrease","Soil erosion parameters","Sediments","decrease","kg-sediments /km2 OR kg-sediment /area /time","10.1016/j.earscirev.2017.08.007","Landscape features"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (bird)","Grouse adult counts (abundance)","increase",NA,"10.1002/ece3.3287","Grazing management"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (bird)","Grouse chick production","increase",NA,"10.1002/ece3.3287","Grazing management"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (reptile-anphibian)","Squamate species abundance","increase",NA,"10.1111/geb.13091","Grazing management"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (invertebrate)","Invertebrate abundance","increase",NA,"10.1016/j.biocon.2009.11.030","Grassland conservation and restoration"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (invertebrate)","Invertebrate species richness","increase",NA,"10.1016/j.biocon.2009.11.030","Grassland conservation and restoration"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (mammal)","Mammal species richness","increase",NA,"10.1016/j.biocon.2009.11.030","Grassland conservation and restoration"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (plant)","Plant abundance","increase",NA,"10.1016/j.biocon.2009.11.030","Grassland conservation and restoration"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (plant)","Plant species richness","increase",NA,"10.1016/j.biocon.2009.11.030","Grassland conservation and restoration"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (reptile-anphibian)","Reptile/amphibian abundance","increase",NA,"10.1016/j.biocon.2009.11.030","Grassland conservation and restoration"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (reptile-anphibian)","Reptile/amphibian species richness","increase",NA,"10.1016/j.biocon.2009.11.030","Grassland conservation and restoration"
"Biodiversity","Pests and diseases","Decrease","Functional parameters (natural enemies)","Natural enemies of pests: Abundance, fecundity, development rate, size and damage.","increase",NA,"10.1016/j.agee.2011.03.014","Organic farming systems"
"Biodiversity","Pests and diseases","Decrease","pest","Pests: Abundance, fecundity, development rate, size and damage.","decrease",NA,"10.1016/j.agee.2011.03.014","Organic farming systems"
"Biodiversity","Biodiversity","Increase","Ecological parameters (plant)","Aboveground biomass","increase",NA,"10.1002/ecm.1221","Wetland management"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (plant)","Plant cover","increase",NA,"10.1002/ecm.1221","Wetland management"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (plant)","Plant density","increase",NA,"10.1002/ecm.1221","Wetland management"
